"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","10.943","+1.149","99","119",""
"3","Bayern","13.989","+1.108","107","127",""
"4","Berlin","2.464","+104","66","11",""
"5","Brandenburg","761","+40","30","2",""
"6","Bremen","286","+11","42","2",""
"7","Hamburg","2.053","+207","112","5",""
"8","Hessen","3.091","+486","49","13",""
"9","Mecklenburg-Vor­pommern","356","+8","22","1",""
"10","Niedersachsen","3.732","+282","47","26",""
"11","Nordrhein-West­falen","12.178","+778","68","101","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","2.584","+188","63","18",""
"13","Saarland","706","+146","71","7",""
"14","Sachsen","1.795","+178","44","9",""
"15","Sachsen-Anhalt","592","+0*","27","2",""
"16","Schles­wig-Holstein","1.049","+44","36","7",""
"17","Thüringen","719","+22","34","5",""
"18","Gesamt","57.298","+4.751","69","455",""
