"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","53.344","+530","2.621","23,6","1.899"
"3","Bayern","72.402","+643","3.034","23,1","2.684"
"4","Berlin","17.555","+443","1.967","53,6","234"
"5","Branden­burg","4.692","+89","266","10,5","169"
"6","Bremen*","2.880","0","326","47,9","60"
"7","Hamburg","8.814","+145","540","29,2","277"
"8","Hessen","21.586","+494","1.883","29,9","559"
"9","Meck­lenburg-
Vor­pommern","1.373","+29","116","7,2","20"
"10","Nieder­sachsen","22.490","+348","1.451","18,2","697"
"11","Nord­rhein-West­falen","78.218","+1.422","5.820","32,4","1.905"
"12","Rhein­land-Pfalz","11.808","+206","755","18,4","256"
"13","Saarland","3.586","+35","175","17,7","177"
"14","Sachsen","8.203","+216","676","16,6","246"
"15","Sachsen-Anhalt","2.858","+26","123","5,6","68"
"16","Schles­wig-Holstein","5.209","+54","302","10,4","162"
"17","Thüringen","4.363","+41","193","9,0","191"
"18","Gesamt","319.381","+4.721","20.248","24,3","9.604"
