"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.642","+68","340","3,1","1.852"
"3","Bayern","51.710","+128","750","5,7","2.626"
"4","Berlin","9.543","+53","315","8,4","224"
"5","Branden­burg","3.600","+3","30","1,2","168"
"6","Bremen","1.798","+6","24","3,5","56"
"7","Hamburg","5.530","+44","124","6,7","262"
"8","Hessen","12.468","+158","473","7,5","524"
"9","Meck­lenburg-
Vor­pommern","910","+3","44","2,7","20"
"10","Nieder­sachsen","14.847","+124","357","4,5","654"
"11","Nord­rhein-West­falen","50.937","+444","2.148","12,0","1.755"
"12","Rhein­land-Pfalz","7.713","+46","190","4,7","239"
"13","Saarland","2.900","+3","24","2,4","174"
"14","Sachsen","5.590","+20","49","1,2","225"
"15","Sachsen-Anhalt","2.044","0","25","1,1","64"
"16","Schles­wig-Holstein","3.569","+35","138","4,8","158"
"17","Thüringen","3.413","+12","46","2,1","182"
"18","Gesamt","214.214","+1.147","5.077","6,1","9.183"
