"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.272","0*","317","2,9","1.847"
"3","Bayern","51.080","+12","594","4,5","2.622"
"4","Berlin","9.319","+45","317","8,5","223"
"5","Branden­burg","3.565","0","26","1,0","168"
"6","Bremen","1.782","+1","35","5,1","56"
"7","Hamburg","5.405","0","75","4,1","261"
"8","Hessen","12.117","+88","414","6,6","520"
"9","Meck­lenburg-
Vor­pommern","875","+7","31","1,9","20"
"10","Nieder­sachsen","14.515","+16","245","3,1","653"
"11","Nord­rhein-West­falen","49.145","+43","1.715","9,6","1.731"
"12","Rhein­land-Pfalz","7.535","+2","101","2,5","239"
"13","Saarland","2.879","+5","26","2,6","174"
"14","Sachsen","5.541","0*","24","0,6","225"
"15","Sachsen-Anhalt","2.030","+8","42","1,9","64"
"16","Schles­wig-Holstein","3.463","+12","142","4,9","156"
"17","Thüringen","3.370","+1","23","1,1","182"
"18","Gesamt","209.893","+240","4.127","5,0","9.141"
