"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.342","0*","242","2,2","1.838"
"3","Bayern","49.710","+8","409","3,1","2.616"
"4","Berlin","8.774","+26","126","3,4","221"
"5","Branden­burg","3.476","0","17","0,7","167"
"6","Bremen","1.718","+9","29","4,2","55"
"7","Hamburg","5.240","+3","13","0,7","261"
"8","Hessen","11.386","+15","210","3,4","514"
"9","Meck­lenburg-
Vor­pommern","806","0","2","0,1","20"
"10","Nieder­sachsen","13.963","+11","135","1,7","645"
"11","Nord­rhein-West­falen","46.024","+114","1.060","5,9","1.712"
"12","Rhein­land-Pfalz","7.299","+6","126","3,1","238"
"13","Saarland","2.828","0","10","1,0","174"
"14","Sachsen","5.488","0*","12","0,3","225"
"15","Sachsen-Anhalt","1.946","+7","29","1,3","62"
"16","Schles­wig-Holstein","3.253","+2","48","1,7","154"
"17","Thüringen","3.321","+1","28","1,3","182"
"18","Gesamt","201.574","+202","2.496","3,0","9.084"
