"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","33.893","+42","306","1.644"
"3","Bayern","45.340","+197","347","2.273"
"4","Berlin","6.428","+31","171","181"
"5","Brandenburg","3.169","+11","126","149"
"6","Bremen","1.150","+21","168","37"
"7","Hamburg","5.017","+36","272","231"
"8","Hessen","9.261","+57","148","432"
"9","Mecklenburg-
Vor­pommern","746","+6","46","20"
"10","Niedersachsen","11.092","+5","139","535"
"11","Nordrhein-West­falen","36.065","+98","201","1.500"
"12","Rhein­land-Pfalz","6.449","+36","158","216"
"13","Saarland","2.688","+4","271","149"
"14","Sachsen","5.089","+28","125","197"
"15","Sachsen-Anhalt","1.676","+8","76","54"
"16","Schles­wig-Holstein","2.998","+10","103","126"
"17","Thüringen","2.711","+30","126","137"
"18","Gesamt","173.772","+620","209","7.881"
