"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","43.592","+169","1.458","13,2","1.865"
"3","Bayern","59.298","+284","1891","14,5","2.642"
"4","Berlin","11.727","+24","512","13,7","226"
"5","Branden­burg","3.931","+4","52","2,1","169"
"6","Bremen","2.070","+3","80","11,7","58"
"7","Hamburg","6.486","0*","185","10,0","267"
"8","Hessen","16.145","+47","664","10,6","535"
"9","Meck­lenburg-
Vor­pommern","1.023","0*","15","0,9","20"
"10","Nieder­sachsen","17.284","+48","478","6,0","665"
"11","Nord­rhein-West­falen","60.433","+176","1.608","9,0","1.823"
"12","Rhein­land-Pfalz","9.364","+40","269","6,6","243"
"13","Saarland","3.199","+2","47","4,7","174"
"14","Sachsen","6.149","+2","178","4,4","225"
"15","Sachsen-Anhalt","2.282","+1","37","1,7","66"
"16","Schles­wig-Holstein","4.126","+6","93","3,2","161"
"17","Thüringen","3.690","+8","60","2,8","186"
"18","Gesamt","250.799","+814","7.627","9,2","9.325"
