"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.917","+98","367","3,3","1.841"
"3","Bayern","50.589","+88","656","5,0","2.619"
"4","Berlin","9.020","+19","203","5,4","223"
"5","Branden­burg","3.527","+3","31","1,2","168"
"6","Bremen","1.752","+5","31","4,5","55"
"7","Hamburg","5.326","+4","79","4,3","261"
"8","Hessen","11.743","+58","299","4,8","518"
"9","Meck­lenburg-
Vor­pommern","845","+2","36","2,2","20"
"10","Nieder­sachsen","14.288","+47","220","2,8","648"
"11","Nord­rhein-West­falen","47.740","+269","1.430","8,0","1.730"
"12","Rhein­land-Pfalz","7.442","+8","91","2,2","238"
"13","Saarland","2.852","+1","21","2,1","174"
"14","Sachsen","5.518","+6","19","0,5","225"
"15","Sachsen-Anhalt","1.991","+2","33","1,5","64"
"16","Schles­wig-Holstein","3.341","+19","69","2,4","156"
"17","Thüringen","3.351","+4","26","1,2","182"
"18","Gesamt","206.242","+633","3.611","4,3","9.122"
