"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.990","+48","185","1,7","1.837"
"3","Bayern","49.086","+63","453","3,5","2.610"
"4","Berlin","8.586","+49","205","5,5","216"
"5","Branden­burg","3.452","-31","22","0,9","168"
"6","Bremen","1.688","+4","13","1,9","54"
"7","Hamburg","5.231","+1","15","0,8","261"
"8","Hessen","11.104","+42","202","3,2","514"
"9","Meck­lenburg-
Vor­pommern","803","-2","0","0,0","20"
"10","Nieder­sachsen","13.791","+37","121","1,5","641"
"11","Nord­rhein-West­falen","44.645","+153","888","5,0","1.701"
"12","Rhein­land-Pfalz","7.126","+14","55","1,3","236"
"13","Saarland","2.812","+3","7","0,7","174"
"14","Sachsen","5.469","+3","12","0,3","225"
"15","Sachsen-Anhalt","1.905","+7","25","1,1","61"
"16","Schles­wig-Holstein","3.202","+2","24","0,8","154"
"17","Thüringen","3.288","+2","21","1,0","182"
"18","Gesamt","198.178","+395","2.248","2,7","9.054"
