"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","43.861","+269","1.552","14,0","1.867"
"3","Bayern","59.804","+506","2.125","16,3","2.643"
"4","Berlin","11.792","+65","455","12,1","226"
"5","Branden­burg","3.943","+12","59","2,3","169"
"6","Bremen","2.073","+3","74","10,8","58"
"7","Hamburg","6.527","+41","200","10,9","267"
"8","Hessen","16.278","+133","669","10,7","535"
"9","Meck­lenburg-
Vor­pommern","1.034","+11","26","1,6","20"
"10","Nieder­sachsen","17.372","+88","496","6,2","665"
"11","Nord­rhein-West­falen","60.695","+262","1.617","9,0","1.823"
"12","Rhein­land-Pfalz","9.434","+70","300","7,3","243"
"13","Saarland","3.199","0","44","4,4","174"
"14","Sachsen","6.155","+6","126","3,1","225"
"15","Sachsen-Anhalt","2.287","+5","39","1,8","66"
"16","Schles­wig-Holstein","4.150","+24","103","3,6","161"
"17","Thüringen","3.694","+4","59","2,8","187"
"18","Gesamt","252.298","+1.499","7.944","9,6","9.329"
