"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","3.811","+4","34","21",""
"3","Bayern","4.892","+1.242","37","26",""
"4","Berlin","1077","+53","29","1",""
"5","Brandenburg","288","+14","11","",""
"6","Bremen","170","+5","25","",""
"7","Hamburg","943","+71","51","",""
"8","Hessen","1347","+172","21","3",""
"9","Mecklenburg-Vor­pommern","172","0","11","",""
"10","Niedersachsen","1.483","+177","19","4",""
"11","Nordrhein-West­falen","5.615","+2.070","31","28","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","1.177","+124","29","2",""
"13","Saarland","200","+13","20","",""
"14","Sachsen","653","+47","16","",""
"15","Sachsen-Anhalt","212","+1","10","",""
"16","Schles­wig-Holstein","383","+36","13","1",""
"17","Thüringen","249","+33","12","",""
"18","Gesamt","22.672","+4.062","27","86",""
