"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.731","+166","401","3,6","1.839"
"3","Bayern","50.112","+63","442","3,4","2.619"
"4","Berlin","8.894","+34","148","3,9","222"
"5","Branden­burg","3.523","+13","50","2,0","168"
"6","Bremen","1.733","+6","32","4,7","55"
"7","Hamburg","5.275","+24","40","2,2","261"
"8","Hessen","11.591","+57","251","4,0","517"
"9","Meck­lenburg-
Vor­pommern","826","+11","21","1,3","20"
"10","Nieder­sachsen","14.185","+52","256","3,2","647"
"11","Nord­rhein-West­falen","46.956","+341","1.203","6,7","1.726"
"12","Rhein­land-Pfalz","7.397","+23","106","2,6","238"
"13","Saarland","2.841","+1","14","1,4","174"
"14","Sachsen","5.506","+3","21","0,5","225"
"15","Sachsen-Anhalt","1.975","+2","37","1,7","63"
"16","Schles­wig-Holstein","3.299","+7","61","2,1","155"
"17","Thüringen","3.339","+12","21","1,0","182"
"18","Gesamt","204.183","+815","3.104","3,7","9.111"
