"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.771","+27","222","2,0","1.839"
"3","Bayern","48.587","+40","390","3,0","2.598"
"4","Berlin","8.345","+43","219","5,8","214"
"5","Branden­burg","3.450","+7","27","1,1","166"
"6","Bremen","1.675","+5","17","2,5","53"
"7","Hamburg","5.212","+1","27","1,5","260"
"8","Hessen","10.894","+25","170","2,7","509"
"9","Meck­lenburg-
Vor­pommern","803","0","6","0,4","20"
"10","Nieder­sachsen","13.632","+27","167","2,1","633"
"11","Nord­rhein-West­falen","43.660","+224","1.209","6,7","1.686"
"12","Rhein­land-Pfalz","7.068","+32","107","2,6","235"
"13","Saarland","2.805","-2","6","0,6","174"
"14","Sachsen","5.453","-4","11","0,3","224"
"15","Sachsen-Anhalt","1.878","+2","14","0,6","59"
"16","Schles­wig-Holstein","3.176","+13","29","1,0","152"
"17","Thüringen","3.265","+6","21","1,0","181"
"18","Gesamt","195.674","+446","2.642","3,2","9.003"
