"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","52.814","+583","2.498","22,5","1.898"
"3","Bayern","71.759","+725","2.750","21,0","2.684"
"4","Berlin","17.112","+497","1.873","51,0","233"
"5","Branden­burg","4.603","+42","225","8,9","169"
"6","Bremen","2.880","+75","367","53,9","60"
"7","Hamburg","8.669","+125","549","29,7","276"
"8","Hessen","21.092","+430","1.625","25,8","557"
"9","Meck­lenburg-
Vor­pommern","1.344","+12","102","6,3","20"
"10","Nieder­sachsen","22.142","+399","1.350","16,9","695"
"11","Nord­rhein-West­falen","76.796","+1.125","5.136","28,6","1.900"
"12","Rhein­land-Pfalz","11.602","+103","653","16,0","256"
"13","Saarland","3.551","+52","165","16,7","177"
"14","Sachsen","7.987","+190","549","13,5","243"
"15","Sachsen-Anhalt","2.832","+17","129","5,9","68"
"16","Schles­wig-Holstein","5.155","+79","286","9,8","162"
"17","Thüringen","4.322","+62","180","8,4","191"
"18","Gesamt","314.660","+4.516","18.437","22,2","9.589"
