"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.224","+109","430","3,9","1.847"
"3","Bayern","50.915","+109","714","5,5","2.622"
"4","Berlin","9.192","+42","268","7,2","223"
"5","Branden­burg","3.560","+9","23","0,9","168"
"6","Bremen","1.774","+11","41","6,0","56"
"7","Hamburg","5.386","+30","93","5,1","261"
"8","Hessen","11.965","+70","367","5,9","520"
"9","Meck­lenburg-
Vor­pommern","864","+3","38","2,4","20"
"10","Nieder­sachsen","14.430","+50","217","2,7","651"
"11","Nord­rhein-West­falen","48.689","+388","1.626","9,1","1.733"
"12","Rhein­land-Pfalz","7.498","+10","96","2,4","239"
"13","Saarland","2.862","0","20","2,0","174"
"14","Sachsen","5.536","+4","25","0,6","225"
"15","Sachsen-Anhalt","2.015","+6","36","1,6","64"
"16","Schles­wig-Holstein","3.427","+26","125","4,3","156"
"17","Thüringen","3.361","+3","22","1,0","182"
"18","Gesamt","208.698","+870","4.141","5,0","9.141"
