"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.514","+59","402","3,6","1.847"
"3","Bayern","51.377","+98","631","4,8","2.624"
"4","Berlin","9.399","+32","289","7,7","223"
"5","Branden­burg","3.588","+9","28","1,1","168"
"6","Bremen","1.790","+3","32","4,7","56"
"7","Hamburg","5.461","+17","105","5,7","261"
"8","Hessen","12.254","+55","425","6,8","523"
"9","Meck­lenburg-
Vor­pommern","889","+9","37","2,3","20"
"10","Nieder­sachsen","14.671","+37","296","3,7","654"
"11","Nord­rhein-West­falen","50.068","+341","1.990","11,1","1.751"
"12","Rhein­land-Pfalz","7.618","+35","141","3,5","239"
"13","Saarland","2.891","+5","29","2,9","174"
"14","Sachsen","5.560","+12","30","0,7","225"
"15","Sachsen-Anhalt","2.036","+2","33","1,5","64"
"16","Schles­wig-Holstein","3.516","+22","139","4,8","157"
"17","Thüringen","3.390","+5","32","1,5","182"
"18","Gesamt","212.022","+741","4.639","5,6","9.168"
