"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.744","+50","240","2,2","1.838"
"3","Bayern","48.547","+67","384","2,9","2.597"
"4","Berlin","8.302","+59","237","6,3","214"
"5","Branden­burg","3.443","+3","24","1,0","165"
"6","Bremen","1.670","+3","15","2,2","53"
"7","Hamburg","5.211","+7","30","1,6","260"
"8","Hessen","10.869","+58","184","2,9","507"
"9","Meck­lenburg-
Vor­pommern","803","0","7","0,4","20"
"10","Nieder­sachsen","13.605","+28","188","2,4","632"
"11","Nord­rhein-West­falen","43.436","+194","1.282","7,1","1.684"
"12","Rhein­land-Pfalz","7.036","+14","88","2,2","235"
"13","Saarland","2.807","+1","6","0,6","173"
"14","Sachsen","5.457","+6","16","0,4","224"
"15","Sachsen-Anhalt","1.876","+3","14","0,6","59"
"16","Schles­wig-Holstein","3.163","+4","23","0,8","152"
"17","Thüringen","3.259","+6","18","0,8","181"
"18","Gesamt","195.228","+503","2.756","3,3","8.994"
