"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.162","+187","491","4,4","1.859"
"3","Bayern","52.436","+254","784","6,0","2.627"
"4","Berlin","9.976","+125","467","12,5","224"
"5","Branden­burg","3.651","+9","46","1,8","169"
"6","Bremen","1.822","+3","30","4,4","56"
"7","Hamburg","5.774","+26","190","10,3","262"
"8","Hessen","13.008","+132","597","9,5","526"
"9","Meck­lenburg-
Vor­pommern","954","+2","43","2,7","20"
"10","Nieder­sachsen","15.176","+54","364","4,6","655"
"11","Nord­rhein-West­falen","53.123","+535","2.460","13,7","1.767"
"12","Rhein­land-Pfalz","7.974","+39","289","7,1","240"
"13","Saarland","2.955","+3","45","4,5","174"
"14","Sachsen","5.685","+12","94","2,3","225"
"15","Sachsen-Anhalt","2.090","+14","46","2,1","64"
"16","Schles­wig-Holstein","3.714","+39","181","6,2","158"
"17","Thüringen","3.464","+11","62","2,9","185"
"18","Gesamt","219.964","+1.445","6.189","7,4","9.211"
