"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","50.105","+398","1.666","15,1","1.887"
"3","Bayern","68.853","+371","2.061","15,8","2.664"
"4","Berlin","15.032","+244","1.119","29,9","229"
"5","Branden­burg","4.326","+26","120","4,8","169"
"6","Bremen","2.511","+40","231","33,8","59"
"7","Hamburg","7.984","+88","407","22,1","271"
"8","Hessen","19.324","+235","1.042","16,6","551"
"9","Meck­lenburg-
Vor­pommern","1.203","+8","58","3,6","20"
"10","Nieder­sachsen","20.491","+201","828","10,4","689"
"11","Nord­rhein-West­falen","71.357","+777","3.867","21,6","1.879"
"12","Rhein­land-Pfalz","10.863","+123","452","11,1","255"
"13","Saarland","3.338","+23","64","6,5","177"
"14","Sachsen","7.349","+61","286","7,0","237"
"15","Sachsen-Anhalt","2.677","+23","146","6,6","68"
"16","Schles­wig-Holstein","4.848","+27","238","8,2","162"
"17","Thüringen","4.134","+28","102","4,8","191"
"18","Gesamt","294.395","+2.673","12.687","15,3","9.508"
