"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.807","+36","190","1,7","1.837"
"3","Bayern","48.655","+68","373","2,9","2.600"
"4","Berlin","8.393","+48","224","6,0","214"
"5","Branden­burg","3.459","+9","29","1,2","167"
"6","Bremen","1.675","0","16","2,3","53"
"7","Hamburg","5.217","+5","24","1,3","260"
"8","Hessen","10.918","+24","166","2,6","511"
"9","Meck­lenburg-
Vor­pommern","804","1","5","0,3","20"
"10","Nieder­sachsen","13.647","+15","150","1,9","635"
"11","Nord­rhein-West­falen","43.853","+193","1.138","6,3","1.688"
"12","Rhein­land-Pfalz","7.080","+12","103","2,5","235"
"13","Saarland","2.805","0","4","0,4","174"
"14","Sachsen","5.458","+5","16","0,4","224"
"15","Sachsen-Anhalt","1.880","+2","12","0,5","59"
"16","Schles­wig-Holstein","3.178","+2","30","1,0","152"
"17","Thüringen","3.267","+2","18","0,8","181"
"18","Gesamt","196.096","+422","2.498","3,0","9.010"
