"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.038","+121","435","3,9","1.843"
"3","Bayern","50.696","+107","676","5,2","2.621"
"4","Berlin","9.071","+51","220","5,9","223"
"5","Branden­burg","3.531","+4","22","0,9","168"
"6","Bremen","1.758","+6","33","4,8","55"
"7","Hamburg","5.338","+12","82","4,5","261"
"8","Hessen","11.806","+63","336","5,4","518"
"9","Meck­lenburg-
Vor­pommern","849","+4","38","2,4","20"
"10","Nieder­sachsen","14.305","+17","170","2,1","649"
"11","Nord­rhein-West­falen","47.965","+225","1.470","8,2","1.730"
"12","Rhein­land-Pfalz","7.456","+14","89","2,2","239"
"13","Saarland","2.857","+5","22","2,2","174"
"14","Sachsen","5.525","+7","22","0,5","225"
"15","Sachsen-Anhalt","1.997","+6","28","1,3","64"
"16","Schles­wig-Holstein","3.379","+38","101","3,5","156"
"17","Thüringen","3.355","+4","29","1,4","182"
"18","Gesamt","206.926","+684","3.773","4,5","9.128"
