"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","49.208","+308","1.636","14,8","1.880"
"3","Bayern","67.763","+407","2.148","16,4","2.664"
"4","Berlin","14.327","+131","991","26,4","228"
"5","Branden­burg","4.251","+34","125","5,0","169"
"6","Bremen","2.385","+13","162","23,7","59"
"7","Hamburg","7.750","+60","420","22,8","269"
"8","Hessen","18.788","+144","1.012","16,2","551"
"9","Meck­lenburg-
Vor­pommern","1.168","+17","47","2,9","20"
"10","Nieder­sachsen","20.026","+254","883","11,1","682"
"11","Nord­rhein-West­falen","69.284","+564","3.384","18,9","1.867"
"12","Rhein­land-Pfalz","10.630","+76","424","10,4","253"
"13","Saarland","3.297","+2","52","5,2","177"
"14","Sachsen","7.151","+29","330","8,1","233"
"15","Sachsen-Anhalt","2.613","+10","146","6,6","68"
"16","Schles­wig-Holstein","4.724","+38","251","8,7","161"
"17","Thüringen","4.056","+2","83","3,9","190"
"18","Gesamt","287.421","+2.089","12.094","14,5","9.471"
