"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","40.031","+202","1.369","12,4","1.863"
"3","Bayern","54.858","+41","1.817","13,9","2.633"
"4","Berlin","10.717","+62","450","12,0","226"
"5","Branden­burg","3.787","+3","83","3,3","169"
"6","Bremen","1.900","+7","59","8,6","56"
"7","Hamburg","6.019","+0","112","6,1","265"
"8","Hessen","14.587","+178","1.089","17,4","528"
"9","Meck­lenburg-
Vor­pommern","992","+3","21","1,3","20"
"10","Nieder­sachsen","16.055","+36","572","7,2","659"
"11","Nord­rhein-West­falen","56.784","+185","2.153","12,0","1.798"
"12","Rhein­land-Pfalz","8.615","+13","442","10,8","242"
"13","Saarland","3.071","+16","70","7,1","174"
"14","Sachsen","5.820","+14","81","2,0","225"
"15","Sachsen-Anhalt","2.179","+9","54","2,4","65"
"16","Schles­wig-Holstein","3.902","+12","108","3,7","160"
"17","Thüringen","3.547","+1","48","2,2","186"
"18","Gesamt","232.864","+782","8.528","10,3","9.269"
