"","Bundesland","Zahl.be.stä.tig.ter.Fälle..darunter.Todes.fälle.","davon.elek.tro.nisch.über.mittelt...darunter.Todes.fälle.","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","Baden-Württemberg","827 (3)","524 (2)",""
"2","Bayern","886 (4)","804 (1)",""
"3","Berlin","265","265",""
"4","Brandenburg","84","56",""
"5","Bremen","53","53",""
"6","Hamburg","162","162",""
"7","Hessen","286","207",""
"8","Mecklenburg-Vorpommern","50","33",""
"9","Niedersachsen","287","238",""
"10","Nordrhein-Westfalen","1.407 (5)","1.407 (5)","Landkreis Heinsberg"
"11","Rheinland-Pfalz","168","168",""
"12","Saarland","32","32",""
"13","Sachsen","130","91",""
"14","Sachsen-Anhalt","47","40",""
"15","Schleswig-Holstein","103","79",""
"16","Thüringen","51","36",""
"17","Gesamt","4.838 (12)","4.195 (8)",""
