"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","47.590","+237","1.561","14,1","1.874"
"3","Bayern","65.746","+415","2.500","19,1","2.653"
"4","Berlin","13.374","+117","857","22,9","228"
"5","Branden­burg","4.116","+15","69","2,7","169"
"6","Bremen","2.250","+27","93","13,6","59"
"7","Hamburg","7.291","+61","313","17,0","269"
"8","Hessen","17.870","+113","762","12,2","545"
"9","Meck­lenburg-
Vor­pommern","1.131","+8","52","3,2","20"
"10","Nieder­sachsen","19.137","+173","804","10,1","670"
"11","Nord­rhein-West­falen","66.191","+438","2.885","16,1","1.854"
"12","Rhein­land-Pfalz","10.230","+47","354","8,7","248"
"13","Saarland","3.252","+18","67","6,8","176"
"14","Sachsen","6.816","+42","280","6,9","227"
"15","Sachsen-Anhalt","2.470","+13","93","4,2","67"
"16","Schles­wig-Holstein","4.498","+38","199","6,9","161"
"17","Thüringen","3.965","+7","114","5,3","189"
"18","Gesamt","275.927","+1.769","11.003","13,2","9.409"
