"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","7.283","+1.214","66","56",""
"3","Bayern","7.993","+1.435","61","47",""
"4","Berlin","1.656","+228","44","4",""
"5","Brandenburg","477","+48","19","1",""
"6","Bremen","211","+11","31","1",""
"7","Hamburg","1.265","+3*","69","",""
"8","Hessen","2.157","+403","34","6",""
"9","Mecklenburg-Vor­pommern","244","+26","15","",""
"10","Niedersachsen","2.347","+207","29","8",""
"11","Nordrhein-West­falen","7.924","+727","44","53","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","1.816","+225","44","6",""
"13","Saarland","433","+30","44","2",""
"14","Sachsen","1.141","+182","28","7",""
"15","Sachsen-Anhalt","418","+43","19","1",""
"16","Schles­wig-Holstein","675","+98","23","3",""
"17","Thüringen","468","+74","22","3",""
"18","Gesamt","36.508","+4.954","44","198",""
