"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","34.399","+54","311","1.697"
"3","Bayern","46.206","+74","353","2.377"
"4","Berlin","6.637","+23","177","191"
"5","Brandenburg","3.214","+1","128","154"
"6","Bremen","1.299","+3","190","41"
"7","Hamburg","5.066","+3","275","241"
"8","Hessen","9.762","+92","156","460"
"9","Mecklenburg-
Vor­pommern","760","-3","47","20"
"10","Niedersachsen","11.578","+57","145","572"
"11","Nordrhein-West­falen","37.223","+84","208","1.563"
"12","Rhein­land-Pfalz","6.590","+8","161","227"
"13","Saarland","2.713","+4","274","157"
"14","Sachsen","5.221","+2","128","204"
"15","Sachsen-Anhalt","1.694","+2","77","54"
"16","Schles­wig-Holstein","3.062","+0","106","137"
"17","Thüringen","2.857","+27","133","152"
"18","Gesamt","178.281","+431","214","8.247"
