"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.342","+78","266","2,4","1.838"
"3","Bayern","49.702","+71","461","3,5","2.616"
"4","Berlin","8.748","+23","115","3,1","221"
"5","Branden­burg","3.476","+6","21","0,8","167"
"6","Bremen","1.709","+8","20","2,9","55"
"7","Hamburg","5.237","+5","10","0,5","261"
"8","Hessen","11.371","+47","222","3,5","514"
"9","Meck­lenburg-
Vor­pommern","806","+1","2","0,1","20"
"10","Nieder­sachsen","13.952","+47","127","1,6","644"
"11","Nord­rhein-West­falen","45.910","+200","1.065","5,9","1.712"
"12","Rhein­land-Pfalz","7.293","+18","143","3,5","238"
"13","Saarland","2.828","+1","12","1,2","174"
"14","Sachsen","5.488","+3","14","0,3","225"
"15","Sachsen-Anhalt","1.939","+3","24","1,1","62"
"16","Schles­wig-Holstein","3.251","+13","46","1,6","154"
"17","Thüringen","3.320","+5","30","1,4","182"
"18","Gesamt","201.372","+529","2.578","3,1","9.083"
