"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","46.428","+387","1.563","14,1","1.869"
"3","Bayern","63.918","+286","2.459","18,8","2.648"
"4","Berlin","12.733","+140","560","14,9","227"
"5","Branden­burg","4.060","+9","59","2,3","169"
"6","Bremen","2.177","+3","65","9,5","59"
"7","Hamburg","7.010","+46","242","13,1","269"
"8","Hessen","17.342","+109","725","11,6","543"
"9","Meck­lenburg-
Vor­pommern","1.093","+12","46","2,9","20"
"10","Nieder­sachsen","18.529","+273","777","9,7","667"
"11","Nord­rhein-West­falen","64.084","+519","2.457","13,7","1.842"
"12","Rhein­land-Pfalz","9.990","+61","358","8,8","247"
"13","Saarland*","3.214","-48","58","5,9","176"
"14","Sachsen","6.581","+59","260","6,4","226"
"15","Sachsen-Anhalt","2.380","+2","57","2,6","66"
"16","Schles­wig-Holstein","4.350","+39","138","4,8","161"
"17","Thüringen","3.884","+19","136","6,3","189"
"18","Gesamt","267.773","+1.916","9.960","12,0","9.378"
