"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","42.119","+177","1.543","13,9","1.866"
"3","Bayern","57.485","+266","1.839","14,1","2.640"
"4","Berlin","11.266","+77","435","11,6","226"
"5","Branden­burg","3.871","+1","50","2,0","169"
"6","Bremen","2.002","+9","90","13,2","56"
"7","Hamburg","6.262","+12","140","7,6","266"
"8","Hessen","15.596","+165","725","11,6","532"
"9","Meck­lenburg-
Vor­pommern","1.008","0","11","0,7","20"
"10","Nieder­sachsen","16.795","+54","481","6,0","661"
"11","Nord­rhein-West­falen","59.023","+336","1.651","9,2","1.812"
"12","Rhein­land-Pfalz","9.105","+52","359","8,8","243"
"13","Saarland","3.151","-3","67","6,8","174"
"14","Sachsen","5.990","+37","137","3,4","226"
"15","Sachsen-Anhalt","2.244","+10","48","2,2","65"
"16","Schles­wig-Holstein","4.045","+16","112","3,9","160"
"17","Thüringen","3.637","+9","68","3,2","186"
"18","Gesamt","243.599","+1.218","7.756","9,3","9.302"
