"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","54.939","+594","3.504","31,6","1.903"
"3","Bayern","73.788","+602","3.596","27,4","2.689"
"4","Berlin","18.327","+252","2.219","60,5","234"
"5","Branden­burg","4.794","+23","294","11,7","169"
"6","Bremen","3.113","+33","482","70,8","61"
"7","Hamburg","9.040","+77","513","27,8","277"
"8","Hessen","22.310","+271","2.142","34,1","562"
"9","Meck­lenburg-
Vor­pommern","1.416","+43","116","7,2","20"
"10","Nieder­sachsen","23.265","+603","1.776","22,2","696"
"11","Nord­rhein-West­falen","81.192","+1211","7.118","39,7","1.917"
"12","Rhein­land-Pfalz","12.235","+129","937","22,9","257"
"13","Saarland","3.720","+17","262","26,5","177"
"14","Sachsen","8.559","+146","857","21,0","248"
"15","Sachsen-Anhalt","2.942","+10","168","7,7","68"
"16","Schles­wig-Holstein","5.325","+65","342","11,8","162"
"17","Thüringen","4.488","+46","257","12,0","194"
"18","Gesamt","329.453","+4.122","24.583","29,6","9.634"
