"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.784","+66","282","2,5","1.752"
"3","Bayern","47.004","+87","606","4,6","2.451"
"4","Berlin","6.816","+16","168","4,5","198"
"5","Branden­burg","3.273","+2","34","1,4","155"
"6","Bremen","1.398","0","87","12,7","42"
"7","Hamburg","5.089","+2","9","0,5","253"
"8","Hessen","10.047","+14","269","4,3","480"
"9","Meck-lenburg-
Vor­pommern","761","0","3","0,2","20"
"10","Nieder-sachsen","12.043","+51","415","5,2","593"
"11","Nord­rhein-West­falen","38.046","+46","719","4,0","1.598"
"12","Rhein­land-Pfalz","6.703","+9","106","2,6","230"
"13","Saarland","2.724","0","20","2,0","163"
"14","Sachsen","5.309","+5","67","1,6","214"
"15","Sachsen-Anhalt","1.706","+1","12","0,5","55"
"16","Schles­wig-Holstein","3.097","+3","30","1,0","145"
"17","Thüringen","3.015","+31","142","6,6","162"
"18","Gesamt","181.815","+333","2.969","3,6","8.511"
