"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.162","+51","223","2,0","1.838"
"3","Bayern","49.427","+77","437","3,3","2.613"
"4","Berlin","8.674","+18","151","4,0","220"
"5","Branden­burg","3.465","+3","17","0,7","167"
"6","Bremen","1.691","0","10","1,5","55"
"7","Hamburg","5.231","0","7","0,4","261"
"8","Hessen","11.217","+11","201","3,2","514"
"9","Meck­lenburg-
Vor­pommern","804","0","0","0,0","20"
"10","Nieder­sachsen","13.848","+25","84","1,1","642"
"11","Nord­rhein-West­falen","45.233","+118","889","5,0","1.708"
"12","Rhein­land-Pfalz","7.222","+26","118","2,9","236"
"13","Saarland","2.823","+4","15","1,5","174"
"14","Sachsen","5.478","+2","12","0,3","225"
"15","Sachsen-Anhalt","1.921","+2","21","1,0","62"
"16","Schles­wig-Holstein","3.229","+8","35","1,2","154"
"17","Thüringen","3.301","+6","17","0,8","182"
"18","Gesamt","199.726","+351","2.237","2,7","9.071"
