"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.272","+48","369","3,3","1.847"
"3","Bayern","51.068","+153","735","5,6","2.622"
"4","Berlin","9.274","+82","290","7,7","223"
"5","Branden­burg","3.565","+5","27","1,1","168"
"6","Bremen","1.781","+7","39","5,7","56"
"7","Hamburg","5.405","+19","90","4,9","261"
"8","Hessen","12.029","+64","360","5,7","520"
"9","Meck­lenburg-
Vor­pommern","868","+4","24","1,5","20"
"10","Nieder­sachsen","14.499","+69","258","3,2","652"
"11","Nord­rhein-West­falen","49.102","+413","1.676","9,3","1.739"
"12","Rhein­land-Pfalz","7.533","+35","115","2,8","239"
"13","Saarland","2.874","+12","23","2,3","174"
"14","Sachsen","5.541","+5","25","0,6","225"
"15","Sachsen-Anhalt","2.022","+7","37","1,7","64"
"16","Schles­wig-Holstein","3.451","+24","137","4,7","156"
"17","Thüringen","3.369","+8","28","1,3","182"
"18","Gesamt","209.653","+955","4.233","5,1","9.148"
