"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.813","+17","214","1,9","1.760"
"3","Bayern","47.138","+109","442","3,4","2.466"
"4","Berlin","6.874","+35","182","4,9","198"
"5","Branden­burg","3.273","-1","24","1,0","156"
"6","Bremen","1.447","+11","124","18,2","43"
"7","Hamburg","5.098","0","13","0,7","253"
"8","Hessen","10.080","+20","197","3,1","480"
"9","Meck­lenburg-
Vor­pommern","761","0","2","0,1","20"
"10","Nieder­sachsen","12.114","+49","384","4,8","596"
"11","Nord­rhein-West­falen","38.185","+85","577","3,2","1.607"
"12","Rhein­land-Pfalz","6.712","+8","65","1,6","230"
"13","Saarland","2.735","5","23","2,3","163"
"14","Sachsen","5.305","-4","43","1,1","212"
"15","Sachsen-Anhalt","1.707","0","7","0,3","55"
"16","Schles­wig-Holstein","3.106","+3","33","1,1","146"
"17","Thüringen","3.022","+5","95","4,4","166"
"18","Gesamt","182.370","+342","2.425","2,9","8.551"
