"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.819","+0","350","3,2","1.841"
"3","Bayern","50.282","+22","466","3,6","2.619"
"4","Berlin","8.991","+34","205","5,5","223"
"5","Branden­burg","3.524","+0","39","1,6","168"
"6","Bremen","1.746","+4","28","4,1","55"
"7","Hamburg","5.304","+13","63","3,4","261"
"8","Hessen","11.680","+31","269","4,3","518"
"9","Meck­lenburg-
Vor­pommern","843","+0","35","2,2","20"
"10","Nieder­sachsen","14.223","+1","185","2,3","648"
"11","Nord­rhein-West­falen","47.430","+173","1.333","7,4","1.728"
"12","Rhein­land-Pfalz","7.420","+11","103","2,5","238"
"13","Saarland","2.850","+1","20","2,0","174"
"14","Sachsen","5.512","+0","25","0,6","225"
"15","Sachsen-Anhalt","1.986","+7","31","1,4","63"
"16","Schles­wig-Holstein","3.318","+7","62","2,1","155"
"17","Thüringen","3.341","+1","19","0,9","182"
"18","Gesamt","205.269","+305","3.233","3,9","9.118"
