"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.718","+0*","236","2,1","1.748"
"3","Bayern","46.917","+63","621","4,7","2.450"
"4","Berlin","6.800","+33","155","4,1","198"
"5","Branden­burg","3.271","+5","33","1,3","155"
"6","Bremen","1.398","+0*","100","14,6","42"
"7","Hamburg","5.087","+5","9","0,5","252"
"8","Hessen","10.033","+30","269","4,3","477"
"9","Meck-lenburg-
Vor­pommern","761","+1","3","0,2","20"
"10","Nieder-sachsen","11.992","+34","373","4,7","593"
"11","Nord­rhein-West­falen","38.000","+90","728","4,1","1.597"
"12","Rhein­land-Pfalz","6.694","-1","96","2,4","230"
"13","Saarland","2.724","+1","21","2,1","163"
"14","Sachsen","5.304","+7","68","1,7","213"
"15","Sachsen-Anhalt","1.705","+4","11","0,5","55"
"16","Schles­wig-Holstein","3.094","+4","27","0,9","145"
"17","Thüringen","2.984","+10","122","5,7","162"
"18","Gesamt","181.482","+286","2.872","3,5","8.500"
