"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.862","+55","185","1,7","1.837"
"3","Bayern","48.852","+108","429","3,3","2.606"
"4","Berlin","8.462","+11","221","5,9","215"
"5","Branden­burg","3.468","+4","29","1,2","168"
"6","Bremen","1.679","0","17","2,5","54"
"7","Hamburg","5.223","+3","19","1,0","261"
"8","Hessen","10.985","+30","193","3,1","512"
"9","Meck­lenburg-
Vor­pommern","805","+1","2","0,1","20"
"10","Nieder­sachsen","13.731","+59","153","1,9","637"
"11","Nord­rhein-West­falen","44.158","+94","959","5,3","1.689"
"12","Rhein­land-Pfalz","7.094","+12","85","2,1","235"
"13","Saarland","2.806","0","3","0,3","174"
"14","Sachsen","5.459","+1","11","0,3","224"
"15","Sachsen-Anhalt","1.894","+5","22","1,0","59"
"16","Schles­wig-Holstein","3.189","+2","34","1,2","152"
"17","Thüringen","3.277","+5","26","1,2","181"
"18","Gesamt","196.944","+390","2.388","2,9","9.024"
