"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","31.196","+153","282","1.269"
"3","Bayern","41.406","+336","317","1.681"
"4","Berlin","5.669","+31","151","127"
"5","Brandenburg","2.747","+26","109","106"
"6","Bremen","759","+5","111","27"
"7","Hamburg","4.505","+30","245","142"
"8","Hessen","8.026","+47","128","333"
"9","Mecklenburg-
Vor­pommern","675","+1","42","17"
"10","Niedersachsen","9.926","+79","124","394"
"11","Nordrhein-West­falen","32.184","+305","179","1.171"
"12","Rhein­land-Pfalz","5.928","+49","145","157"
"13","Saarland","2.509","+6","253","123"
"14","Sachsen","4.490","+32","110","148"
"15","Sachsen-Anhalt","1.520","+5","69","39"
"16","Schles­wig-Holstein","2.653","+15","92","101"
"17","Thüringen","2.144","+24","100","78"
"18","Gesamt","156.337","+1.144","188","5.913"
