"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","51.191","+257","1.818","16,4","1.894"
"3","Bayern","70.006","+375","2.096","16,0","2.674"
"4","Berlin","15.949","+301","1.518","40,5","231"
"5","Branden­burg","4.447","+26","185","7,4","169"
"6","Bremen","2.632","+13","249","36,5","59"
"7","Hamburg","8.339","+98","485","26,3","273"
"8","Hessen","20.113","+135","1.288","20,6","556"
"9","Meck­lenburg-
Vor­pommern","1.293","+73","123","7,6","20"
"10","Nieder­sachsen","21.284","+209","1.113","13,9","691"
"11","Nord­rhein-West­falen","73.842","+847","4.388","24,5","1.886"
"12","Rhein­land-Pfalz","11.215","+129","551","13,5","256"
"13","Saarland","3.449","+69","148","14,9","177"
"14","Sachsen","7.533","+31","301","7,4","239"
"15","Sachsen-Anhalt","2.764","+18","145","6,6","68"
"16","Schles­wig-Holstein","4.978","+40","239","8,3","162"
"17","Thüringen","4.223","+18","156","7,3","191"
"18","Gesamt","303.258","+2.639","14.803","17,8","9.546"
