"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.455","+183","406","3,7","1.847"
"3","Bayern","51.279","+123","634","4,8","2.623"
"4","Berlin","9.367","+39","320","8,5","223"
"5","Branden­burg","3.579","+6","28","1,1","168"
"6","Bremen","1.787","+5","35","5,1","56"
"7","Hamburg","5.444","+8","103","5,6","261"
"8","Hessen","12.199","+57","434","6,9","521"
"9","Meck­lenburg-
Vor­pommern","880","+3","31","1,9","20"
"10","Nieder­sachsen","14.634","+67","315","3,9","653"
"11","Nord­rhein-West­falen","49.727","+292","1.936","10,8","1.744"
"12","Rhein­land-Pfalz","7.583","+40","131","3,2","239"
"13","Saarland","2.886","+5","31","3,1","174"
"14","Sachsen","5.548","+7","22","0,5","225"
"15","Sachsen-Anhalt","2.034","+3","39","1,8","64"
"16","Schles­wig-Holstein","3.494","+27","143","4,9","156"
"17","Thüringen","3.385","+14","33","1,5","182"
"18","Gesamt","211.281","+879","4.641","5,6","9.156"
