"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","45.323","+69","1.269","11,5","1.868"
"3","Bayern","62.401","+427","2.324","17,8","2.647"
"4","Berlin","12.354","+85","486","13,0","226"
"5","Branden­burg","4.016","+10","63","2,5","169"
"6","Bremen","2.137","+2","64","9,4","59"
"7","Hamburg","6.846","+21","253","13,7","268"
"8","Hessen","16.985","+108","677","10,8","540"
"9","Meck­lenburg-
Vor­pommern","1.064","+9","28","1,7","20"
"10","Nieder­sachsen","18.023","+112","557","7,0","667"
"11","Nord­rhein-West­falen","62.725","+464","1.982","11,1","1.834"
"12","Rhein­land-Pfalz","9.795","+31","326","8,0","247"
"13","Saarland","3.234","-11*","46","4,6","175"
"14","Sachsen","6.430","+27","243","6,0","226"
"15","Sachsen-Anhalt","2.359","+4","70","3,2","66"
"16","Schles­wig-Holstein","4.255","+24","104","3,6","161"
"17","Thüringen","3.815","+25","114","5,3","189"
"18","Gesamt","261.762","+1.407","8.606","10,4","9.362"
