"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.718","+239*","288","2,6","1.748"
"3","Bayern","46.854","+45","635","4,9","2.450"
"4","Berlin","6.767","+29","129","3,4","197"
"5","Branden­burg","3.266","-5","32","1,3","155"
"6","Bremen","1.398","+26","103","15,1","42"
"7","Hamburg","5.082","+4","8","0,4","246"
"8","Hessen","10.003","+41","289","4,6","476"
"9","Meck-lenburg-
Vor­pommern","760","+1","2","0,1","20"
"10","Nieder-sachsen","11.958","+126","376","4,7","593"
"11","Nord­rhein-West­falen","37.910","+107","713","4,0","1.595"
"12","Rhein­land-Pfalz","6.695","+22","103","2,5","230"
"13","Saarland","2.723","+7","24","2,4","163"
"14","Sachsen","5.297","+67","66","1,6","213"
"15","Sachsen-Anhalt","1.701","+1","9","0,4","55"
"16","Schles­wig-Holstein","3.090","+12","23","0,8","145"
"17","Thüringen","2.974","+16","126","5,9","161"
"18","Gesamt","181.196","+738","2.926","3,5","8.489"
