"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","40.685","+327","1.501","13,6","1.862"
"3","Bayern","55.767","+353","1.881","14,4","2.635"
"4","Berlin","10.852","+66","407","10,9","226"
"5","Branden­burg","3.818","+23","74","2,9","169"
"6","Bremen","1.924","+11","59","8,6","56"
"7","Hamburg","6.110","+27","145","7,9","265"
"8","Hessen","15.025","+216","1.146","18,3","528"
"9","Meck­lenburg-
Vor­pommern","998","+1","20","1,2","20"
"10","Nieder­sachsen","16.274","+83","514","6,4","662"
"11","Nord­rhein-West­falen","57.560","+347","2.002","11,2","1.804"
"12","Rhein­land-Pfalz","8.759","+46","383","9,4","243"
"13","Saarland","3.085","+5","65","6,6","174"
"14","Sachsen","5.841","+14","71","1,7","225"
"15","Sachsen-Anhalt","2.199","+16","57","2,6","65"
"16","Schles­wig-Holstein","3.961","+34","129","4,5","160"
"17","Thüringen","3.571","+7","51","2,4","186"
"18","Gesamt","236.429","+1.576","8.505","10,2","9.280"
