"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.446","+37","184","1,7","1.827"
"3","Bayern","48.122","+127","250","1,9","2.583"
"4","Berlin","8.021","+46","465","12,4","212"
"5","Branden­burg","3.428","+15","53","2,1","165"
"6","Bremen*","1.653","0","34","5,0","49"
"7","Hamburg*","5.175","0","21","1,1","259"
"8","Hessen","10.666","+21","197","3,1","505"
"9","Meck­lenburg-
Vor­pommern","796","+2","4","0,2","20"
"10","Nieder­sachsen","13.378","+51","291","3,6","623"
"11","Nord­rhein-West­falen","41.992","+314","1.715","9,6","1.669"
"12","Rhein­land-Pfalz","6.940","+16","56","1,4","235"
"13","Saarland","2.801","0","6","0,6","169"
"14","Sachsen","5.438","+2","50","1,2","223"
"15","Sachsen-Anhalt","1.858","+2","50","2,3","58"
"16","Schles­wig-Holstein","3.140","+3","18","0,6","152"
"17","Thüringen","3.225","-6","26","1,2","178"
"18","Gesamt","192.079","+630","3.420","4,1","8.927"
