"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi-denz","Todes­fälle"
"2","Baden-Württem­berg","34.129","-371*","261","2,4","1.724"
"3","Bayern","46.729","+271","695","5,3","2.438"
"4","Berlin","6.703","+30","110","2,9","195"
"5","Branden­burg","3.261","+15","26","1,0","155"
"6","Bremen","1.348","+26","73","10,7","41"
"7","Hamburg","5.076","+4","15","0,8","245"
"8","Hessen","9.915","+55","281","4,5","471"
"9","Meck-lenburg-
Vor­pommern","760","0","1","0,1","20"
"10","Nieder-sachsen","11.750","+72","311","3,9","583"
"11","Nord­rhein-West­falen","37.698","+157","702","3,9","1.582"
"12","Rhein­land-Pfalz","6.652","+41","76","1,9","230"
"13","Saarland","2.731","+1","20","2,0","161"
"14","Sachsen","5.260","+13","51","1,3","210"
"15","Sachsen-Anhalt","1.701","+3","11","0,5","55"
"16","Schles­wig-Holstein","3.072","+2","46","1,6","143"
"17","Thüringen","2.932","+34","122","5,7","158"
"18","Gesamt","179.717","+353","2.801","3,4","8.411"
