"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","32.762","+186","296","1.497"
"3","Bayern","43.658","+287","334","2.050"
"4","Berlin","6.149","+57","164","162"
"5","Brandenburg","2.999","+30","119","129"
"6","Bremen","963","+47","141","32"
"7","Hamburg","4.704","+40","255","194"
"8","Hessen","8.736","+94","139","396"
"9","Mecklenburg-
Vor­pommern","715","+4","44","19"
"10","Niedersachsen","10.564","+111","132","478"
"11","Nordrhein-West­falen","34.249","+272","191","1.372"
"12","Rhein­land-Pfalz","6.213","+22","152","189"
"13","Saarland","2.655","+28","268","143"
"14","Sachsen","4.836","+52","119","181"
"15","Sachsen-Anhalt","1.602","+12","73","48"
"16","Schles­wig-Holstein","2.834","+19","98","120"
"17","Thüringen","2.452","+23","114","109"
"18","Gesamt","166.091","+1.284","200","7.119"
