"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","34.937","+25","147","1,3","1.791"
"3","Bayern","47.371","+37","284","2,2","2.505"
"4","Berlin","7.016","+19","176","4,7","205"
"5","Branden­burg","3.304","+7","23","0,9","160"
"6","Bremen","1.531","+14","96","14,1","44"
"7","Hamburg","5.115","+2","22","1,2","254"
"8","Hessen","10.207","+4","131","2,1","484"
"9","Meck­lenburg-
Vor­pommern","774","+1","13","0,8","20"
"10","Nieder­sachsen","12.509","+43","436","5,5","605"
"11","Nord­rhein-West­falen","38.660","+44","594","3,3","1.623"
"12","Rhein­land-Pfalz","6.781","+6","77","1,9","230"
"13","Saarland","2.747","0","22","2,2","166"
"14","Sachsen","5.330","+7","26","0,6","214"
"15","Sachsen-Anhalt","1.720","0","12","0,5","56"
"16","Schles­wig-Holstein","3.110","+1","11","0,4","147"
"17","Thüringen","3.081","+4","60","2,8","170"
"18","Gesamt","184.193","+214","2.130","2,6","8.674"
