"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.565","+9","294","2,7","1.838"
"3","Bayern","50.049","+95","476","3,6","2.618"
"4","Berlin","8.860","+23","131","3,5","222"
"5","Branden­burg","3.510","+13","39","1,6","167"
"6","Bremen","1.727","+2","30","4,4","55"
"7","Hamburg","5.251","+7","21","1,1","261"
"8","Hessen","11.534","+76","234","3,7","516"
"9","Meck­lenburg-
Vor­pommern","815","+4","10","0,6","20"
"10","Nieder­sachsen","14.133","+32","225","2,8","647"
"11","Nord­rhein-West­falen","46.615","+248","1.125","6,3","1.721"
"12","Rhein­land-Pfalz","7.374","+28","114","2,8","238"
"13","Saarland","2.840","+5","16","1,6","174"
"14","Sachsen","5.503","0","20","0,5","225"
"15","Sachsen-Anhalt","1.973","+12","38","1,7","62"
"16","Schles­wig-Holstein","3.292","+14","56","1,9","155"
"17","Thüringen","3.327","+1","14","0,7","182"
"18","Gesamt","203.368","+569","2.843","3,4","9.101"
