"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","49.421","213","1.616","14,6","1.885"
"3","Bayern","67.996","233","2.025","15,5","2.664"
"4","Berlin","14.500","173","995","26,5","228"
"5","Branden­burg","4.258","7","110","4,4","169"
"6","Bremen","2.435","50","188","27,5","59"
"7","Hamburg","7.837","87","427","23,2","270"
"8","Hessen","18.945","157","1.042","16,6","551"
"9","Meck­lenburg-
Vor­pommern","1.180","12","45","2,8","20"
"10","Nieder­sachsen","20.162","136","872","10,9","684"
"11","Nord­rhein-West­falen","69.822","538","3.468","19,3","1.872"
"12","Rhein­land-Pfalz","10.698","68","447","10,9","254"
"13","Saarland*","3.297","0","37","3,7","177"
"14","Sachsen","7.202","51","318","7,8","234"
"15","Sachsen-Anhalt","2.619","6","123","5,6","68"
"16","Schles­wig-Holstein","4.772","48","267","9,2","162"
"17","Thüringen","4.075","19","85","4,0","191"
"18","Gesamt","289.219","1.798","12.065","14,5","9.488"
