"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","39.829","+336","1.261","11,4","1.862"
"3","Bayern","54.817","+401","1.864","14,3","2.633"
"4","Berlin","10.655","+112","420","11,2","226"
"5","Branden­burg","3.784","+26","85","3,4","169"
"6","Bremen","1.893","+8","58","8,5","56"
"7","Hamburg","6.019","+30","122","6,6","265"
"8","Hessen","14.409","+149","972","15,5","528"
"9","Meck­lenburg-
Vor­pommern","989","+5","19","1,2","20"
"10","Nieder­sachsen","16.019","+134","595","7,5","659"
"11","Nord­rhein-West­falen","56.599","+663","2.293","12,8","1.797"
"12","Rhein­land-Pfalz","8.602","+88","464","11,4","242"
"13","Saarland","3.055","+15","61","6,2","174"
"14","Sachsen","5.806","+18","69","1,7","225"
"15","Sachsen-Anhalt","2.170","+15","53","2,4","65"
"16","Schles­wig-Holstein","3.890","+18","114","3,9","160"
"17","Thüringen","3.546","+16","48","2,2","186"
"18","Gesamt","232.082","+2.034","8.498","10,2","9.267"
