"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.620","+90","206","1,9","1.830"
"3","Bayern","48.400","+56","336","2,6","2.594"
"4","Berlin","8.220","+44","286","7,6","214"
"5","Branden­burg","3.429","+10","35","1,4","165"
"6","Bremen","1.662","+1","9","1,3","53"
"7","Hamburg","5.201","+7","40","2,2","259"
"8","Hessen","10.795","+33","175","2,8","508"
"9","Meck­lenburg-
Vor­pommern","802","+1","9","0,6","20"
"10","Nieder­sachsen","13.535","+33","223","2,8","628"
"11","Nord­rhein-West­falen","43.066","+197","1.412","7,9","1.680"
"12","Rhein­land-Pfalz","6.996","+9","72","1,8","235"
"13","Saarland","2.806","0","6","0,6","173"
"14","Sachsen","5.448","+4","19","0,5","223"
"15","Sachsen-Anhalt","1.871","+2","15","0,7","58"
"16","Schles­wig-Holstein","3.154","+7","17","0,6","152"
"17","Thüringen","3.254","+4","18","0,8","181"
"18","Gesamt","194.259","+498","2.878","3,5","8.973"
