"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","38.480","+58","598","5,4","1.859"
"3","Bayern","52.888","+41","980","7,5","2.631"
"4","Berlin","10.238","+42","522","13,9","224"
"5","Branden­burg","3.697","+2","51","2,0","169"
"6","Bremen","1.841","+6","38","5,6","56"
"7","Hamburg","5.878","+28","166","9,0","264"
"8","Hessen","13.433","+43","699","11,2","526"
"9","Meck­lenburg-
Vor­pommern","972","+2","31","1,9","20"
"10","Nieder­sachsen","15.384","+41","384","4,8","656"
"11","Nord­rhein-West­falen","54.390","+284","2.612","14,6","1.777"
"12","Rhein­land-Pfalz","8.121","+26","292","7,1","242"
"13","Saarland","3.000","+14","69","7,0","174"
"14","Sachsen","5.730","+11","76","1,9","225"
"15","Sachsen-Anhalt","2.123","+9","58","2,6","64"
"16","Schles­wig-Holstein","3.782","+14","192","6,6","158"
"17","Thüringen","3.496","+4","69","3,2","186"
"18","Gesamt","223.453","+625","6.837","8,2","9.231"
