"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3"
"1","","An­zahl","Dif­fe­renz zum 
Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle"
"2","Baden-Württem­berg","25.438","+398","230","767"
"3","Bayern","34.294","+725","262","954"
"4","Berlin","4.722","+54","126","62"
"5","Brandenburg","1.950","+34","78","42"
"6","Bremen","500","+8","73","21"
"7","Hamburg","3.869","+61","210","67"
"8","Hessen","6.347","+164","101","173"
"9","Mecklenburg-
Vor­pommern","624","+5","39","11"
"10","Niedersachsen","8.019","+134","100","224"
"11","Nordrhein-West­falen","25.835","+535","144","607"
"12","Rhein­land-Pfalz","5.004","+124","123","77"
"13","Saarland","2.145","+33","217","58"
"14","Sachsen","3.819","+68","94","73"
"15","Sachsen-Anhalt","1.223","+16","55","26"
"16","Schles­wig-Holstein","2.245","+81","78","54"
"17","Thüringen","1.550","+46","72","38"
"18","Gesamt","127.584","+2.486","153","3.254"
