"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","50.240","+135","1.481","13,4","1.888"
"3","Bayern","69.186","+333","2.043","15,6","2.672"
"4","Berlin","15.371","+339","1.253","33,4","231"
"5","Branden­burg","4.369","+43","138","5,5","169"
"6","Bremen","2.557","+46","238","34,8","59"
"7","Hamburg","8.064","+80","391","21,2","271"
"8","Hessen","19.616","+292","1.120","17,9","552"
"9","Meck­lenburg-
Vor­pommern","1.220","+17","67","4,2","20"
"10","Nieder­sachsen","20.777","+286","958","12,0","690"
"11","Nord­rhein-West­falen","72.063","+706","3.946","22,0","1.882"
"12","Rhein­land-Pfalz","10.975","+112","483","11,8","256"
"13","Saarland","3.380","+42","91","9,2","177"
"14","Sachsen","7.391","+42","275","6,7","239"
"15","Sachsen-Anhalt","2.693","+16","129","5,8","68"
"16","Schles­wig-Holstein","4.898","+50","233","8,0","162"
"17","Thüringen","4.158","+24","108","5,0","191"
"18","Gesamt","296.958","+2.563","12.954","15,6","9.527"
