"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.090","0*","110","1,0","1.805"
"3","Bayern","47.642","+16","249","1,9","2.541"
"4","Berlin","7.322","+40","301","8,0","208"
"5","Branden­burg","3.329","+3","31","1,2","163"
"6","Bremen","1.592","+3","60","8,8","48"
"7","Hamburg","5.144","+5","25","1,4","255"
"8","Hessen","10.324","0*","107","1,7","491"
"9","Meck­lenburg-
Vor­pommern","782","0","8","0,5","20"
"10","Nieder­sachsen","12.909","+35","336","4,2","614"
"11","Nord­rhein-West­falen","39.307","+74","634","3,5","1.646"
"12","Rhein­land-Pfalz","6.841","+1","50","1,2","231"
"13","Saarland","2.772","0","23","2,3","168"
"14","Sachsen","5.347","+1","18","0,4","219"
"15","Sachsen-Anhalt","1.768","+12","48","2,2","57"
"16","Schles­wig-Holstein","3.121","0","9","0,3","151"
"17","Thüringen","3.171","2","74","3,5","174"
"18","Gesamt","186.461","+192","2.083","2,5","8.791"
