"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","55.639","+700","3.595","32,4","1.909"
"3","Bayern","74.459","+671","3.776","28,8","2.693"
"4","Berlin","19.033","+706","2.604","71,0","237"
"5","Branden­burg","4.997","+203","436","17,3","172"
"6","Bremen","3.166","+53","462","67,8","62"
"7","Hamburg","9.153","+113","533","28,9","278"
"8","Hessen","22.819","+509","2.323","36,9","567"
"9","Meck­lenburg-
Vor­pommern","1.472","+56","154","9,6","20"
"10","Nieder­sachsen","23.560","+295","1.768","22,1","702"
"11","Nord­rhein-West­falen","82.356","+1164","7.446","41,5","1.923"
"12","Rhein­land-Pfalz","12.410","+175","1.005","24,5","260"
"13","Saarland","3.867","+147","367","37,2","177"
"14","Sachsen","8.742","+183","883","21,7","250"
"15","Sachsen-Anhalt","2.966","+24","151","6,9","68"
"16","Schles­wig-Holstein","5.391","+66","354","12,2","163"
"17","Thüringen","4.555","+67","306","14,3","196"
"18","Gesamt","334.585","+5.132","26.163","31,5","9.677"
