"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.150","+60","148","1,3","1.808"
"3","Bayern","47.690","+48","253","1,9","2.540"
"4","Berlin","7.369","+47","318","8,5","208"
"5","Branden­burg","3.334","+5","31","1,2","163"
"6","Bremen","1.593","+1","60","8,8","48"
"7","Hamburg","5.147","+3","25","1,4","255"
"8","Hessen","10.371","+47","119","1,9","495"
"9","Meck­lenburg-
Vor­pommern","784","+2","10","0,6","20"
"10","Nieder­sachsen","12.950","+41","323","4,0","614"
"11","Nord­rhein-West­falen","39.415","+108","654","3,6","1.648"
"12","Rhein­land-Pfalz","6.846","+5","39","1,0","231"
"13","Saarland","2.773","1","15","1,5","168"
"14","Sachsen","5.349","+2","17","0,4","220"
"15","Sachsen-Anhalt","1.771","+3","51","2,3","57"
"16","Schles­wig-Holstein","3.122","+1","8","0,3","151"
"17","Thüringen","3.175","+4","71","3,3","174"
"18","Gesamt","186.839","+378","2.142","2,6","8.800"
