"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","60.721","+668","5.277","47,5","1.936"
"3","Bayern","80.880","+1.145","6.685","50,9","2.720"
"4","Berlin","21.905","+476","3.102","84,5","241"
"5","Branden­burg","5.574","+123","596","23,6","174"
"6","Bremen","3.630","+40","520","76,3","63"
"7","Hamburg","10.003","+93","742","40,2","281"
"8","Hessen","26.558","+782","4.055","64,5","584"
"9","Meck­lenburg-
Vor­pommern","1.719","+14","274","17,0","21"
"10","Nieder­sachsen","26.356","+504","2.738","34,3","717"
"11","Nord­rhein-West­falen","92.694","+2.150","11.160","62,2","1.963"
"12","Rhein­land-Pfalz","13.957","+305","1.612","39,4","265"
"13","Saarland","4.437","+22","660","66,9","177"
"14","Sachsen","10.520","+245","1.633","40,1","259"
"15","Sachsen-Anhalt","3.334","+49","346","15,8","71"
"16","Schles­wig-Holstein","5.879","+165","552","19,0","163"
"17","Thüringen","5.000","+87","482","22,6","201"
"18","Gesamt","373.167","+6.868","40.434","48,6","9.836"
