"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","36.819","+88","406","3,7","1.841"
"3","Bayern","50.260","+148","494","3,8","2.619"
"4","Berlin","8.957","+63","190","5,1","223"
"5","Branden­burg","3.524","+1","46","1,8","168"
"6","Bremen","1.742","+9","33","4,8","55"
"7","Hamburg","5.291","+16","51","2,8","261"
"8","Hessen","11.649","+58","270","4,3","518"
"9","Meck­lenburg-
Vor­pommern","843","+17","36","2,2","20"
"10","Nieder­sachsen","14.222","+37","255","3,2","648"
"11","Nord­rhein-West­falen","47.257","+301","1.306","7,3","1.728"
"12","Rhein­land-Pfalz","7.409","+12","106","2,6","238"
"13","Saarland","2.849","+8","20","2,0","174"
"14","Sachsen","5.512","+6","25","0,6","225"
"15","Sachsen-Anhalt","1.979","+4","32","1,4","63"
"16","Schles­wig-Holstein","3.311","+12","59","2,0","155"
"17","Thüringen","3.340","+1","19","0,9","182"
"18","Gesamt","204.964","+781","3.348","4,0","9.118"
