"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","37.749","+107","341","3,1","1.858"
"3","Bayern","51.794","+84","696","5,3","2.626"
"4","Berlin","9.640","+97","336","9,0","224"
"5","Branden­burg","3.622","+22","48","1,9","169"
"6","Bremen","1.800","+2","19","2,8","56"
"7","Hamburg","5.610","+80","184","10,0","262"
"8","Hessen","12.602","+134","522","8,3","524"
"9","Meck­lenburg-
Vor­pommern","930","+20","61","3,8","20"
"10","Nieder­sachsen","14.911","+64","367","4,6","654"
"11","Nord­rhein-West­falen","51.330","+393","2.174","12,1","1.759"
"12","Rhein­land-Pfalz","7.748","+35","212","5,2","239"
"13","Saarland","2.913","+13","34","3,4","174"
"14","Sachsen","5.632","+42","87","2,1","225"
"15","Sachsen-Anhalt","2.057","+13","30","1,4","64"
"16","Schles­wig-Holstein","3.578","+9","123","4,2","158"
"17","Thüringen","3.420","+7","47","2,2","183"
"18","Gesamt","215.336","+1.122","5.281","6,4","9.195"
