"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Beson.ders.be.trof.fene.Gebiete.in.Deutsch.land"
"1","","An­zahl","Dif­fe­renz zum Vor­tag","Fälle/ 100.000 Einw.","Todes­fälle",""
"2","Baden-Württem­berg","3.807","+139","34","21",""
"3","Bayern","3.650","+690","28","21",""
"4","Berlin","1.024","+158","27","1",""
"5","Brandenburg","274","+20","11","",""
"6","Bremen","165","+23","24","",""
"7","Hamburg","872","+285","47","",""
"8","Hessen","1.175","+95","19","2",""
"9","Mecklenburg-Vor­pommern","172","+7","11","",""
"10","Niedersachsen","1.306","+283","16","1",""
"11","Nordrhein-West­falen","3.545","+3","20","6","Landkreis Heinsberg"
"12","Rhein­land-Pfalz","1.053","+115","26","2",""
"13","Saarland","187","0","19","",""
"14","Sachsen","606","+39","15","",""
"15","Sachsen-Anhalt","211","+23","10","",""
"16","Schles­wig-Holstein","347","+39","12","1",""
"17","Thüringen","216","+29","10","",""
"18","Gesamt","18.610","+1.948","22","55",""
