"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","47.107","+172","1.638","14,8","1.871"
"3","Bayern","64.919","+294","2.629","20,1","2.648"
"4","Berlin","13.109","+44","801","21,4","227"
"5","Branden­burg","4.090","+2","70","2,8","169"
"6","Bremen","2.219","+4","82","12,0","59"
"7","Hamburg","7.165","+15","277","15,0","269"
"8","Hessen","17.637","+51","730","11,7","544"
"9","Meck­lenburg-
Vor­pommern*","1.105","0","41","2,5","20"
"10","Nieder­sachsen","18.900","+109","871","10,9","669"
"11","Nord­rhein-West­falen","65.232","+154","2.708","15,1","1.845"
"12","Rhein­land-Pfalz","10.116","+31","340","8,3","247"
"13","Saarland","3.234","+2","60","6,1","176"
"14","Sachsen","6.692","+13","254","6,2","226"
"15","Sachsen-Anhalt","2.453","+10","94","4,3","66"
"16","Schles­wig-Holstein","4.421","+16","180","6,2","161"
"17","Thüringen","3.938","+5","130","6,1","189"
"18","Gesamt","272.337","+922","10.905","13,1","9.386"
