"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","35.365","+93","170","1,5","1.826"
"3","Bayern","47.894","+27","246","1,9","2.571"
"4","Berlin","7.916","+83","522","13,9","211"
"5","Branden­burg","3.407","+13","54","2,1","164"
"6","Bremen","1.654","+6","61","8,9","49"
"7","Hamburg*","5.170","0","24","1,3","259"
"8","Hessen","10.613","+35","242","3,9","501"
"9","Meck­lenburg-
Vor­pommern","792","0","7","0,4","20"
"10","Nieder­sachsen","13.312","+29","337","4,2","619"
"11","Nord­rhein-West­falen","41.418","+200","1969","11,0","1.665"
"12","Rhein­land-Pfalz","6.919","+2","64","1,6","234"
"13","Saarland","2.778","0","9","0,9","168"
"14","Sachsen*","5.408","0","59","1,4","221"
"15","Sachsen-Anhalt","1.851","+7","75","3,4","57"
"16","Schles­wig-Holstein","3.136","0","15","0,5","152"
"17","Thüringen","3.229","+8","45","2,1","178"
"18","Gesamt","190.862","+503","3.899","4,7","8.895"
